Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify copy button in product module,RET-44,10043,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 12:36 PM,17/Feb/22 12:36 PM,17/Feb/22 12:36 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:d,,RET Sprint 1,,,,,,,,Done
Verify by uploading other image type than jpg in add product module,RET-43,10042,Test,In Progress,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 11:57 AM,17/Feb/22 11:47 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:n,,RET Sprint 1,,,,,,,,In Progress
Verify by uploading jpg file in image in add products page in product module,RET-42,10041,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 12:37 PM,17/Feb/22 12:37 PM,17/Feb/22 12:37 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:ki,,RET Sprint 1,,,,,,,,Done
Verify that product name and meta tag title label has astrik sign in add new products page in product module,RET-41,10040,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 10:19 AM,18/Feb/22 10:19 AM,18/Feb/22 10:19 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:ii,,RET Sprint 1,,,,,,,,Done
Verify the action button in product module,RET-40,10039,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 12:30 PM,17/Feb/22 12:30 PM,17/Feb/22 12:30 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:ji,,RET Sprint 1,,,,,,,,Done
Verify the fields in product page in product Module,RET-39,10038,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 10:09 AM,18/Feb/22 10:09 AM,18/Feb/22 10:09 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:l,,RET Sprint 1,,,,,,,,Done
Verify the filter button in product module,RET-38,10037,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 3:47 PM,18/Feb/22 3:48 PM,18/Feb/22 3:47 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:4,,RET Sprint 1,,,,,,,,Done
Verify the contents of status and image field in product module,RET-37,10036,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 11:12 AM,17/Feb/22 11:12 AM,17/Feb/22 11:12 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:o,,RET Sprint 1,,,,,,,,Done
Verify the type of status and image field in product module,RET-36,10035,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,17/Feb/22 11:45 AM,17/Feb/22 11:45 AM,17/Feb/22 11:45 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:7,,RET Sprint 1,,,,,,,,Done
Verify the quantity field with alphabets in product module,RET-35,10034,Test,In Progress,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:16 PM,18/Feb/22 10:01 AM,18/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00003:i,,RET Sprint 1,,,,,,,,In Progress
Verify the quantity field with Numbers in product module,RET-34,10033,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,18/Feb/22 10:16 AM,18/Feb/22 10:16 AM,18/Feb/22 10:16 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:2i,,RET Sprint 1,,,,,,,,Done
Verify the price field with alphabets in product module,RET-33,10032,Test,In Progress,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,18/Feb/22 10:14 AM,18/Feb/22 10:14 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:d,,RET Sprint 1,,,,,,,,In Progress
Verify the price field with Numbers in product module,RET-32,10031,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,18/Feb/22 10:39 AM,18/Feb/22 10:40 AM,18/Feb/22 10:39 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:3i,,RET Sprint 1,,,,,,,,Done
Verify the Model field with alphanumeric characters in product module,RET-31,10030,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,18/Feb/22 10:15 AM,18/Feb/22 10:15 AM,18/Feb/22 10:15 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00004:,,RET Sprint 1,,,,,,,,Done
Verify the product name with alphanumeric characters in product module,RET-30,10029,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,18/Feb/22 10:08 AM,18/Feb/22 10:08 AM,18/Feb/22 10:08 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:j,,RET Sprint 1,,,,,,,,Done
"Verify the type of product name,model,price,quantity in product module",RET-29,10028,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,18/Feb/22 3:22 PM,18/Feb/22 3:22 PM,18/Feb/22 3:22 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:3,,RET Sprint 1,,,,,,,,Done
Verify the font size of every text box in mail module,RET-28,10027,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,16/Feb/22 2:37 PM,16/Feb/22 2:37 PM,16/Feb/22 2:37 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:6,,RET Sprint 1,,,,,,,,Done
Verify the cancel button in mail module,RET-27,10026,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,16/Feb/22 2:37 PM,16/Feb/22 2:37 PM,16/Feb/22 2:37 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:2,,RET Sprint 1,,,,,,,,Done
Verify the send button with valid input data in mail module,RET-26,10025,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,16/Feb/22 2:19 PM,16/Feb/22 2:19 PM,16/Feb/22 2:19 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:4,,RET Sprint 1,,,,,,,,Done
Verify the send button with invalid input data in mail module,RET-25,10024,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,16/Feb/22 12:50 PM,15/Feb/22 4:07 PM,16/Feb/22 12:50 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00000:9,,RET Sprint 1,,,,,,,,Done
Verify the send button in mail module,RET-24,10023,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,16/Feb/22 3:55 PM,16/Feb/22 3:55 PM,16/Feb/22 3:55 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00001:9,,RET Sprint 1,,,,,,,,Done
Verify the Message field with less than 3000 characters in mail module,RET-23,10022,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,16/Feb/22 3:53 PM,16/Feb/22 3:53 PM,16/Feb/22 3:53 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:k,,RET Sprint 1,,,,,,,,Done
Verify the Message field with more than 3000 characters in mail module,RET-22,10021,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,16/Feb/22 12:52 PM,15/Feb/22 4:06 PM,16/Feb/22 12:52 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00000:i,,RET Sprint 1,,,,,,,,Done
"Verify the Message field with alphabet,numeric,alphanumeric and special characters in mail module",RET-21,10020,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,18/Feb/22 3:23 PM,15/Feb/22 4:05 PM,18/Feb/22 3:23 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0000b:,,RET Sprint 1,,,,,,,,Done
Verify the type of Message field in mail module,RET-20,10019,Test,Done,RET,Retail,software,Saurabh Kumar,620b359eeb297800689101e7,,Medium,Done,,,Saurabh Kumar,620b359eeb297800689101e7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:15 PM,16/Feb/22 2:18 PM,16/Feb/22 2:17 PM,16/Feb/22 2:18 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00002:9,,RET Sprint 1,,,,,,,,Done
